Iterations,Win,Draw ,Lose ,House Edge
22301,0.46,0.0569,0.4821,0.0211
22401,0.45,0.057,0.4886,0.0342
22501,0.46,0.0606,0.4758,0.0122
22601,0.46,0.0571,0.4808,0.0187
22701,0.46,0.054,0.4826,0.0192
22801,0.47,0.0565,0.4784,0.0133
22901,0.46,0.0579,0.4858,0.0295
23001,0.46,0.0549,0.4886,0.0321
23101,0.46,0.0598,0.4794,0.0186
23201,0.46,0.0603,0.4779,0.0161
23301,0.46,0.0633,0.4724,0.0081
23401,0.46,0.0564,0.4886,0.0336
23501,0.47,0.0533,0.479,0.0113
23601,0.46,0.0581,0.4814,0.0209
23701,0.45,0.0607,0.4856,0.0319
23801,0.46,0.0603,0.4782,0.0167
23901,0.46,0.0552,0.488,0.0312
24001,0.46,0.0526,0.4908,0.0342
24101,0.46,0.0562,0.4795,0.0152
24201,0.45,0.0604,0.4855,0.0314
24301,0.45,0.0553,0.4909,0.0371
24401,0.46,0.0635,0.4804,0.0243
24501,0.46,0.0563,0.4854,0.0271
24601,0.45,0.0533,0.496,0.0453
24701,0.46,0.0579,0.4779,0.0137
24801,0.45,0.0568,0.4888,0.0344
24901,0.46,0.0594,0.4822,0.0238
25001,0.46,0.052,0.4878,0.0276
25101,0.46,0.0578,0.4806,0.019
25201,0.47,0.0567,0.4782,0.0131
25301,0.45,0.0548,0.4935,0.0418
25401,0.46,0.0577,0.485,0.0277
25501,0.45,0.0581,0.4898,0.0377
25601,0.46,0.0607,0.4824,0.0255
25701,0.46,0.058,0.4772,0.0124
25801,0.46,0.0552,0.4845,0.0242
25901,0.45,0.0576,0.4896,0.0368
26001,0.45,0.0565,0.4946,0.0457
26101,0.45,0.0545,0.4923,0.0391
26201,0.46,0.0557,0.4863,0.0283
26301,0.46,0.0552,0.4823,0.0198
26401,0.46,0.0598,0.4811,0.022
26501,0.47,0.0533,0.4812,0.0157
26601,0.46,0.0549,0.4894,0.0337
26701,0.46,0.056,0.4846,0.0252
26801,0.46,0.057,0.4868,0.0306
26901,0.45,0.0584,0.4868,0.032
27001,0.45,0.0603,0.4855,0.0313
27101,0.46,0.058,0.4865,0.031
27201,0.45,0.057,0.4888,0.0346
27301,0.45,0.0568,0.4916,0.04
27401,0.46,0.0542,0.4898,0.0338
27501,0.46,0.0581,0.4868,0.0317
27601,0.46,0.0566,0.4863,0.0292
27701,0.46,0.0611,0.482,0.0251
27801,0.47,0.054,0.4739,0.0018
27901,0.46,0.0567,0.4869,0.0305
28001,0.46,0.0558,0.4855,0.0268
28101,0.46,0.0599,0.482,0.0239
28201,0.46,0.0583,0.4864,0.0311
28301,0.46,0.0582,0.4836,0.0254
28401,0.45,0.0616,0.4852,0.032
28501,0.46,0.0568,0.4802,0.0172
28601,0.46,0.0562,0.4882,0.0326
28701,0.47,0.0568,0.4708,-0.0016
28801,0.46,0.0567,0.4831,0.0229
28901,0.46,0.0566,0.4881,0.0328
29001,0.47,0.0583,0.4747,0.0077
29101,0.46,0.0584,0.4813,0.021
29201,0.45,0.0565,0.49,0.0365
29301,0.46,0.0555,0.4895,0.0345
29401,0.47,0.057,0.4763,0.0096
29501,0.47,0.0567,0.4778,0.0123
29601,0.46,0.0575,0.4824,0.0223
29701,0.46,0.0531,0.4838,0.0207
29801,0.45,0.0582,0.4916,0.0414
29901,0.45,0.0577,0.4895,0.0367
30001,0.46,0.0578,0.4821,0.022
30101,0.46,0.0551,0.4832,0.0215
30201,0.46,0.0579,0.4808,0.0195
30301,0.46,0.0615,0.4759,0.0133
30401,0.45,0.0617,0.4851,0.0319
30501,0.46,0.0561,0.4819,0.0199
30601,0.46,0.0531,0.4895,0.0321
30701,0.46,0.0595,0.4828,0.0251
30801,0.46,0.054,0.4872,0.0284
30901,0.46,0.0584,0.4812,0.0208
31001,0.46,0.0611,0.4774,0.0159
31101,0.46,0.0564,0.4851,0.0266
31201,0.46,0.0573,0.4849,0.0271
31301,0.47,0.0561,0.4786,0.0133
31401,0.46,0.0583,0.4798,0.0179
31501,0.46,0.0574,0.4854,0.0282
31601,0.46,0.053,0.4896,0.0322
31701,0.46,0.0555,0.4802,0.0159
31801,0.46,0.0519,0.4865,0.0249
31901,0.46,0.0542,0.4867,0.0276
32001,0.45,0.0585,0.4871,0.0327
32101,0.46,0.0602,0.4766,0.0134
32201,0.46,0.0587,0.4769,0.0125
32301,0.46,0.0586,0.4858,0.0302
32401,0.47,0.0584,0.4711,0.0006
32501,0.46,0.0607,0.4786,0.0179
32601,0.46,0.0555,0.4845,0.0245
32701,0.45,0.0585,0.4866,0.0317
32801,0.47,0.0585,0.4757,0.0099
32901,0.46,0.0567,0.4843,0.0253
33001,0.46,0.0557,0.4888,0.0333
33101,0.47,0.0539,0.475,0.0039
33201,0.46,0.0536,0.4841,0.0218
33301,0.45,0.0544,0.4912,0.0368
33401,0.46,0.0578,0.4797,0.0172
33501,0.46,0.0572,0.4818,0.0208
33601,0.46,0.056,0.4873,0.0306
33701,0.46,0.0581,0.4869,0.0319
33801,0.45,0.0563,0.4888,0.0339
33901,0.46,0.0572,0.4811,0.0194
34001,0.46,0.0563,0.4871,0.0305
34101,0.46,0.0538,0.4876,0.029
34201,0.47,0.0544,0.4782,0.0108
34301,0.46,0.0588,0.4771,0.013
34401,0.47,0.0568,0.4764,0.0096
34501,0.46,0.0603,0.4788,0.0179
34601,0.46,0.0602,0.4816,0.0234
34701,0.47,0.058,0.4762,0.0104
34801,0.45,0.0596,0.4904,0.0404
34901,0.46,0.0617,0.4809,0.0235
35001,0.46,0.0598,0.4769,0.0136
35101,0.46,0.0546,0.4874,0.0294
35201,0.46,0.0536,0.4875,0.0286
35301,0.46,0.0544,0.489,0.0324
35401,0.46,0.0571,0.4818,0.0207
35501,0.46,0.058,0.4813,0.0206
35601,0.45,0.0572,0.4912,0.0396
35701,0.45,0.0578,0.4893,0.0364
35801,0.46,0.053,0.4885,0.03
35901,0.46,0.0578,0.4819,0.0216
36001,0.46,0.058,0.4801,0.0182
36101,0.46,0.0607,0.4807,0.0221
36201,0.46,0.0601,0.4832,0.0265
36301,0.45,0.0551,0.4916,0.0383
36401,0.46,0.0542,0.4845,0.0232
36501,0.46,0.0585,0.4861,0.0307
36601,0.46,0.0593,0.4846,0.0285
36701,0.46,0.0585,0.4851,0.0287
36801,0.47,0.0593,0.469,-0.0027
36901,0.47,0.0547,0.4772,0.0091
37001,0.46,0.0558,0.4839,0.0236
37101,0.46,0.0601,0.4784,0.0169
37201,0.46,0.0563,0.4832,0.0227
37301,0.45,0.0589,0.4878,0.0345
37401,0.44,0.0561,0.4991,0.0543
37501,0.46,0.0571,0.4854,0.0279
37601,0.46,0.0568,0.4818,0.0204
37701,0.46,0.0549,0.4828,0.0205
37801,0.46,0.0637,0.475,0.0137
37901,0.47,0.057,0.4756,0.0082
38001,0.46,0.058,0.4862,0.0304
38101,0.45,0.0571,0.4885,0.0341
38201,0.45,0.0648,0.4813,0.0274
38301,0.45,0.0594,0.489,0.0374
38401,0.46,0.0549,0.4817,0.0183
38501,0.46,0.0549,0.4823,0.0195
38601,0.46,0.0601,0.4794,0.0189
38701,0.46,0.0553,0.482,0.0193
38801,0.46,0.0596,0.479,0.0176
38901,0.46,0.0576,0.4827,0.023
39001,0.46,0.0624,0.481,0.0244
39101,0.46,0.057,0.4819,0.0208
39201,0.46,0.0575,0.4838,0.0251
39301,0.46,0.0578,0.479,0.0158
39401,0.47,0.0549,0.4783,0.0115
39501,0.46,0.0635,0.4751,0.0137
39601,0.46,0.057,0.4795,0.016
39701,0.47,0.0554,0.4795,0.0144
39801,0.46,0.0595,0.4836,0.0267
39901,0.47,0.058,0.4754,0.0088
40001,0.46,0.0552,0.4886,0.0324
40101,0.46,0.0594,0.4783,0.016
40201,0.45,0.062,0.4854,0.0328
40301,0.46,0.0609,0.4804,0.0217
40401,0.46,0.0581,0.4869,0.0319
40501,0.46,0.0592,0.4839,0.027
40601,0.46,0.0558,0.4851,0.026
40701,0.46,0.0574,0.4846,0.0266
40801,0.45,0.0599,0.4868,0.0335
40901,0.45,0.0568,0.4894,0.0356
41001,0.46,0.0593,0.4785,0.0163
41101,0.46,0.058,0.4845,0.027
41201,0.46,0.0578,0.4838,0.0254
41301,0.46,0.0578,0.4868,0.0314
41401,0.47,0.0555,0.4795,0.0145
41501,0.47,0.0513,0.4837,0.0187
41601,0.46,0.059,0.4807,0.0204
41701,0.47,0.0558,0.4772,0.0102
41801,0.46,0.0581,0.4827,0.0235
41901,0.46,0.0558,0.4834,0.0226
42001,0.46,0.053,0.4868,0.0266
42101,0.45,0.0631,0.4821,0.0273
42201,0.46,0.058,0.4825,0.023
42301,0.46,0.0551,0.4864,0.0279
42401,0.46,0.0583,0.4819,0.0221
42501,0.46,0.0584,0.4831,0.0246
42601,0.46,0.058,0.4845,0.027
42701,0.45,0.0607,0.4849,0.0305
42801,0.47,0.058,0.4764,0.0108
42901,0.46,0.0574,0.4793,0.016
43001,0.46,0.0542,0.4836,0.0214
43101,0.46,0.0633,0.4802,0.0237
43201,0.46,0.0595,0.4757,0.0109
43301,0.47,0.0571,0.4731,0.0033
43401,0.47,0.057,0.477,0.011
43501,0.46,0.0577,0.4783,0.0143
43601,0.46,0.0609,0.4835,0.0279
43701,0.47,0.0562,0.4782,0.0126
43801,0.46,0.0599,0.4824,0.0247
43901,0.46,0.0598,0.4825,0.0248
44001,0.46,0.0568,0.4852,0.0272
44101,0.46,0.0539,0.4875,0.0289
44201,0.46,0.0586,0.4826,0.0238
44301,0.45,0.0645,0.4834,0.0313
44401,0.47,0.0544,0.4782,0.0108
44501,0.46,0.0571,0.484,0.0251
44601,0.46,0.0572,0.4825,0.0222
44701,0.47,0.0544,0.4804,0.0152
44801,0.46,0.0563,0.4822,0.0207
44901,0.46,0.0567,0.481,0.0187
45001,0.47,0.0608,0.4734,0.0076
45101,0.47,0.0605,0.4732,0.0069
45201,0.46,0.0619,0.4786,0.0191
45301,0.46,0.0612,0.4748,0.0108
45401,0.46,0.0574,0.4797,0.0168
45501,0.46,0.0608,0.476,0.0128
45601,0.46,0.0565,0.4821,0.0207
45701,0.47,0.0583,0.4763,0.0109
45801,0.46,0.0565,0.4849,0.0263
45901,0.46,0.0594,0.482,0.0234
46001,0.47,0.0571,0.4764,0.0099
46101,0.47,0.055,0.4765,0.008
46201,0.46,0.0632,0.4752,0.0136
46301,0.45,0.0577,0.4924,0.0425
46401,0.47,0.0576,0.4769,0.0114
46501,0.46,0.0596,0.4852,0.03
46601,0.45,0.0601,0.4873,0.0347
46701,0.46,0.0585,0.4826,0.0237
46801,0.46,0.0596,0.4823,0.0242
46901,0.46,0.0591,0.4787,0.0165
47001,0.45,0.0624,0.4891,0.0406
47101,0.46,0.0564,0.4801,0.0166
47201,0.47,0.0564,0.4759,0.0082
47301,0.47,0.0578,0.477,0.0118
47401,0.46,0.056,0.4824,0.0208
47501,0.47,0.0536,0.4812,0.016
47601,0.46,0.0595,0.4779,0.0153
47701,0.46,0.0572,0.4795,0.0162
47801,0.46,0.0604,0.4753,0.011
47901,0.46,0.0587,0.4816,0.0219
48001,0.45,0.055,0.4905,0.036
48101,0.46,0.0591,0.4797,0.0185
48201,0.46,0.0555,0.4874,0.0303
48301,0.45,0.0571,0.4919,0.0409
48401,0.46,0.0566,0.4809,0.0184
48501,0.46,0.0548,0.4888,0.0324
48601,0.47,0.0558,0.4736,0.003
48701,0.46,0.0599,0.4773,0.0145
48801,0.46,0.0559,0.4829,0.0217
48901,0.46,0.0607,0.4842,0.0291
49001,0.47,0.0573,0.4773,0.0119
49101,0.47,0.0556,0.4717,-0.001
49201,0.47,0.0559,0.4772,0.0103
49301,0.46,0.0574,0.4805,0.0184
49401,0.47,0.0578,0.4685,-0.0052
49501,0.46,0.0569,0.4797,0.0163
49601,0.46,0.0546,0.4882,0.031
49701,0.46,0.0608,0.4777,0.0162
49801,0.46,0.0511,0.4852,0.0215
49901,0.46,0.0529,0.4856,0.0241
50001,0.47,0.0573,0.4773,0.0119
50101,0.46,0.0593,0.4765,0.0123
50201,0.46,0.0567,0.4857,0.0281
50301,0.46,0.0572,0.4832,0.0236
50401,0.46,0.0543,0.4861,0.0265
50501,0.46,0.056,0.4834,0.0228
50601,0.46,0.057,0.4787,0.0144
50701,0.47,0.0599,0.4697,-0.0007
50801,0.46,0.0605,0.48,0.0205
50901,0.46,0.056,0.4862,0.0284
51001,0.46,0.0539,0.4855,0.0249
51101,0.46,0.0568,0.4806,0.018
51201,0.46,0.0616,0.4806,0.0228
51301,0.47,0.0593,0.4751,0.0095
51401,0.47,0.0557,0.475,0.0057
51501,0.47,0.0538,0.4775,0.0088
51601,0.45,0.059,0.4876,0.0342
51701,0.46,0.059,0.483,0.025
51801,0.45,0.0582,0.4898,0.0378
51901,0.45,0.0567,0.4887,0.0341
52001,0.46,0.0539,0.4846,0.0231
52101,0.46,0.0578,0.4793,0.0164
52201,0.47,0.0547,0.479,0.0127
52301,0.46,0.0638,0.4808,0.0254
52401,0.45,0.0585,0.4871,0.0327
52501,0.47,0.056,0.4761,0.0082
52601,0.47,0.0553,0.4781,0.0115
52701,0.46,0.0596,0.4776,0.0148
52801,0.46,0.0571,0.4812,0.0195
52901,0.46,0.0602,0.4796,0.0194
53001,0.47,0.0561,0.4736,0.0033
53101,0.46,0.0604,0.4818,0.024
53201,0.46,0.0563,0.4792,0.0147
53301,0.45,0.0582,0.4915,0.0412
53401,0.46,0.0572,0.483,0.0232
53501,0.46,0.0626,0.4772,0.017
53601,0.46,0.0555,0.4865,0.0285
53701,0.46,0.0602,0.4844,0.029
53801,0.47,0.0562,0.4772,0.0106
53901,0.46,0.0602,0.4839,0.028
54001,0.46,0.0556,0.481,0.0176
54101,0.46,0.0611,0.4828,0.0267
54201,0.46,0.053,0.4822,0.0174
54301,0.46,0.0595,0.4839,0.0273
54401,0.46,0.0655,0.4742,0.0139
54501,0.46,0.0551,0.4834,0.0219
54601,0.46,0.0573,0.4806,0.0185
54701,0.46,0.0558,0.4799,0.0156
54801,0.46,0.0583,0.4783,0.0149
54901,0.46,0.0573,0.4788,0.0149
55001,0.45,0.0593,0.4868,0.0329
55101,0.47,0.0604,0.4732,0.0068
55201,0.45,0.0566,0.4912,0.039
55301,0.47,0.0564,0.4765,0.0094
55401,0.46,0.057,0.4802,0.0174
55501,0.47,0.0612,0.4672,-0.0044
55601,0.46,0.0586,0.4787,0.016
55701,0.45,0.0535,0.4925,0.0385
55801,0.46,0.0607,0.4761,0.0129
55901,0.46,0.0598,0.4802,0.0202
56001,0.46,0.0558,0.4881,0.032
56101,0.46,0.0599,0.4778,0.0155
56201,0.46,0.0572,0.4824,0.022
56301,0.47,0.0573,0.4765,0.0103
56401,0.46,0.0571,0.4787,0.0145
56501,0.46,0.0609,0.4785,0.0179
56601,0.46,0.0569,0.4813,0.0195
56701,0.47,0.0559,0.479,0.0139
56801,0.46,0.0536,0.4862,0.026
56901,0.46,0.0583,0.4858,0.0299
57001,0.47,0.0566,0.473,0.0026
57101,0.47,0.0569,0.471,-0.0011
57201,0.47,0.0592,0.4734,0.006
57301,0.46,0.0513,0.4842,0.0197
57401,0.46,0.0563,0.4819,0.0201
57501,0.47,0.0553,0.4772,0.0097
57601,0.46,0.0595,0.4825,0.0245
57701,0.46,0.0567,0.4808,0.0183
57801,0.46,0.058,0.4843,0.0266
57901,0.46,0.0602,0.4797,0.0196
58001,0.46,0.0545,0.4819,0.0183
58101,0.45,0.0587,0.4903,0.0393
58201,0.47,0.0543,0.4797,0.0137
58301,0.45,0.0606,0.4854,0.0314
58401,0.46,0.0583,0.4817,0.0217
58501,0.45,0.0582,0.4918,0.0418
58601,0.47,0.0535,0.4789,0.0113
58701,0.46,0.0575,0.4852,0.0279
58801,0.46,0.0549,0.4809,0.0167
58901,0.47,0.0591,0.4741,0.0073
59001,0.46,0.0576,0.4809,0.0194
59101,0.47,0.0574,0.4763,0.01
59201,0.46,0.0596,0.4765,0.0126
59301,0.47,0.0564,0.4777,0.0118
59401,0.46,0.0586,0.4835,0.0256
59501,0.46,0.0575,0.4814,0.0203
59601,0.46,0.0542,0.4882,0.0306
59701,0.46,0.0573,0.4821,0.0215
59801,0.46,0.0563,0.4837,0.0237
59901,0.46,0.0556,0.4811,0.0178
60001,0.47,0.0592,0.4758,0.0108
60101,0.46,0.061,0.4769,0.0148
60201,0.46,0.0585,0.4822,0.0229
60301,0.46,0.0593,0.4797,0.0187
60401,0.46,0.0568,0.4796,0.016
60501,0.47,0.0581,0.4755,0.0091
60601,0.46,0.0521,0.4847,0.0215
