Iterations,Win,Draw ,Lose ,House Edge
75301,0.46,0.057,0.4802,0.0174
75401,0.46,0.0565,0.4801,0.0167
75501,0.46,0.0605,0.4801,0.0207
75601,0.46,0.0585,0.4816,0.0217
75701,0.46,0.0613,0.4805,0.0223
75801,0.47,0.0576,0.4695,-0.0034
75901,0.46,0.0611,0.48,0.0211
76001,0.46,0.06,0.4825,0.025
76101,0.47,0.06,0.47,0
76201,0.46,0.0573,0.4841,0.0255
76301,0.46,0.0548,0.4808,0.0164
76401,0.46,0.0581,0.477,0.0121
76501,0.46,0.0591,0.4824,0.0239
76601,0.46,0.0597,0.4805,0.0207
76701,0.46,0.0565,0.4808,0.0181
76801,0.47,0.0548,0.4716,-0.002
76901,0.47,0.0563,0.4764,0.0091
77001,0.46,0.0611,0.4804,0.0219
77101,0.46,0.0595,0.4809,0.0213
77201,0.47,0.0582,0.4748,0.0078
77301,0.46,0.0551,0.4886,0.0323
77401,0.45,0.0554,0.4921,0.0396
77501,0.46,0.0589,0.481,0.0209
77601,0.46,0.0649,0.478,0.0209
77701,0.45,0.0634,0.4854,0.0342
77801,0.46,0.0617,0.4741,0.0099
77901,0.47,0.0554,0.478,0.0114
78001,0.46,0.0554,0.4856,0.0266
78101,0.46,0.0596,0.4826,0.0248
78201,0.47,0.0572,0.4776,0.0124
78301,0.47,0.0555,0.479,0.0135
78401,0.47,0.0599,0.4719,0.0037
78501,0.46,0.0613,0.4822,0.0257
78601,0.47,0.0569,0.4759,0.0087
78701,0.46,0.0573,0.4812,0.0197
78801,0.46,0.0598,0.4775,0.0148
78901,0.46,0.0556,0.4831,0.0218
79001,0.46,0.0574,0.486,0.0294
79101,0.47,0.0616,0.4707,0.003
79201,0.46,0.0536,0.4818,0.0172
79301,0.46,0.0585,0.4853,0.0291
79401,0.46,0.0609,0.4832,0.0273
79501,0.46,0.0576,0.4857,0.029
79601,0.48,0.0573,0.4653,-0.0121
79701,0.46,0.0571,0.482,0.0211
79801,0.46,0.0583,0.4776,0.0135
79901,0.46,0.0574,0.4801,0.0176
80001,0.46,0.0592,0.4855,0.0302
80101,0.46,0.0586,0.4774,0.0134
80201,0.46,0.0573,0.4823,0.0219
80301,0.46,0.0571,0.4793,0.0157
80401,0.47,0.0569,0.4738,0.0045
80501,0.46,0.0573,0.4862,0.0297
80601,0.46,0.0592,0.4851,0.0294
80701,0.47,0.0577,0.4771,0.0119
80801,0.47,0.0578,0.4683,-0.0056
80901,0.46,0.0581,0.4776,0.0133
81001,0.46,0.0595,0.4791,0.0177
81101,0.46,0.0584,0.4837,0.0258
81201,0.45,0.0612,0.4849,0.031
